,khs,myoV_vkh
0,10.0,94.01845886372556
1,12.91549665014884,107.08062974251203
2,16.68100537200059,121.1192620327027
3,21.544346900318832,137.27894903653979
4,27.825594022071243,155.95022019019774
5,35.938136638046274,176.95769059752607
6,46.41588833612777,200.34912270479896
7,59.94842503189409,227.76237715855945
8,77.4263682681127,258.0990582540218
9,100.0,292.9733635812755
10,129.1549665014884,332.022626102857
11,166.81005372000593,376.6137705167545
12,215.44346900318823,427.17315688063
13,278.2559402207126,484.5103323547715
14,359.38136638046257,549.2633716728025
15,464.15888336127773,623.3980822306871
16,599.4842503189409,707.1935119364189
17,774.263682681127,802.658337304776
18,1000.0,910.9116219284928
19,1291.549665014884,1034.1731891718082
20,1668.100537200059,1174.8162761231795
21,2154.4346900318824,1333.8030012922486
22,2782.559402207123,1515.9401433255218
23,3593.813663804626,1722.6532900623322
24,4641.588833612777,1958.5822798128543
25,5994.8425031894085,2226.9401984594324
26,7742.63682681127,2533.345088822907
27,10000.0,2882.2762383119434
28,12915.496650148827,3280.2088695203674
29,16681.005372000556,3733.3015042862753
30,21544.346900318822,4250.188486721376
31,27825.59402207126,4839.197057694187
32,35938.13663804626,5511.011282297123
33,46415.888336127726,6275.962980511668
34,59948.42503189409,7147.786305467551
35,77426.36826811278,8139.470304979598
36,100000.0,9269.542702671037
37,129154.96650148826,10557.139281682594
38,166810.0537200059,12019.972341519877
39,215443.46900318822,13686.037685037685
40,278255.94022071257,15579.416541651803
41,359381.36638046254,17732.74482448185
42,464158.8833612772,20182.060503034292
43,599484.2503189408,22966.760144906508
44,774263.6826811262,26131.295955533777
45,1000000.0,29730.450542576556
46,1291549.6650148828,33821.12316750087
47,1668100.537200059,38469.70143211628
48,2154434.6900318824,43754.79540610627
49,2782559.4022071203,49760.450166406335
50,3593813.6638046256,56586.27068917113
51,4641588.833612773,64343.88035046098
52,5994842.503189409,73162.27189194773
53,7742636.8268112615,83184.37523805577
54,10000000.0,94571.28117366238
55,12915496.650148828,107516.9818328456
56,16681005.372000556,122224.09140515001
57,21544346.900318824,138943.51246650383
58,27825594.0220712,157939.58640588855
59,35938136.63804626,179535.1818320932
60,46415888.33612773,204071.60288593188
61,59948425.03189409,231955.8303401283
62,77426368.26811261,263651.36614397663
63,100000000.0,299666.69497408665
64,129154966.50148827,340600.8091902896
65,166810053.72000557,387120.7004932338
66,215443469.00318778,439987.26305339026
67,278255940.22071147,500071.11568094173
68,359381366.3804626,568354.0170618469
69,464158883.3612773,645943.0711188581
70,599484250.3189421,734138.0438000412
71,774263682.6811278,834357.558881793
72,1000000000.0,948257.4052858903
73,1291549665.0148828,1077705.0944389552
74,1668100537.2000558,1224803.0819123043
75,2154434690.031878,1391976.8972392597
76,2782559402.2071257,1581979.352529275
77,3593813663.8046255,1797901.387197366
78,4641588833.612773,2043287.8820708771
79,5994842503.189397,2322206.8783544158
80,7742636826.811277,2639100.512189355
81,10000000000.0,2999286.9501302815
82,12915496650.148827,3408610.855179598
83,16681005372.000557,3873795.961673993
84,21544346900.31878,4402436.892085901
85,27825594022.07126,5003295.089842382
86,35938136638.04626,5686022.252471195
87,46415888336.12772,6461840.203892031
88,59948425031.89397,7343733.785426658
89,77426368268.11246,8346190.841564661
90,100000000000.0,9484749.503759775
91,129154966501.48827,10779114.505220097
92,166810053720.00558,12250953.283244655
93,215443469003.18777,13922467.80909938
94,278255940220.7126,15820441.768265923
95,359381366380.4626,17983275.613767996
96,464158883361.2773,20434536.08074684
97,599484250318.9397,23222941.95092979
98,774263682681.1246,26393704.8008226
99,1000000000000.0,29986471.616866156
